symptom,keyword,medicine
I have a headache since morning,head,Paracetamol 500mg; take after meals and stay hydrated
My head hurts badly,head,Ibuprofen 400mg; sip warm water and rest in a quiet room
Feeling pain in my head,head,Ibuprofen 400mg; relax in a dimly lit environment
Sharp pain in my forehead,head,Paracetamol 500mg; avoid screen exposure and rest
My head feels heavy and throbbing,head,Ibuprofen 400mg; practice deep breathing and light stretches
Experiencing constant head pressure,head,Paracetamol 500mg; keep your head elevated and stay calm
My temples are aching,head,Ibuprofen 400mg; apply a cool compress and relax
Head is pounding and uncomfortable,head,Paracetamol 500mg; reduce noise and rest in a quiet place
I feel dizzy with head pain,head,Ibuprofen 400mg; sip fluids slowly and lie down comfortably
Mild headache after work,head,Paracetamol 500mg; take a short nap and avoid caffeine
Throbbing pain around my head,head,Ibuprofen 400mg; practice gentle meditation and hydration
Headache accompanied by nausea,head,Paracetamol 500mg; eat light food and rest in a calm room
Pain in my skull region,head,Ibuprofen 400mg; maintain good posture and take breaks
My head hurts after waking up,head,Paracetamol 500mg; stretch gently and drink warm water
Persistent head discomfort,head,Ibuprofen 400mg; relax muscles and avoid bright lights
I have a severe toothache, tooth,Clove oil applied to the affected tooth; rinse gently with warm water
My tooth hurts badly, tooth,Benzocaine gel applied on the painful area; rest in a quiet room
Pain in my upper tooth, tooth,Clove oil on the affected tooth; avoid very hot or cold foods
My lower tooth is throbbing, tooth,Benzocaine gel; sip warm fluids and relax
Sharp pain in my molar, tooth,Clove oil; apply gently and stay calm
Tooth pain worsening at night, tooth,Benzocaine gel; keep head elevated and chew lightly
My tooth feels sensitive, tooth,Clove oil; rinse mouth with warm salt water
Pain in my teeth after eating, teeth,Benzocaine gel; avoid hard foods and gently massage jaw
My teeth ache constantly, teeth,Clove oil; apply a cold compress outside the cheek
Throbbing pain in my upper teeth, teeth,Benzocaine gel; sip warm water and rest quietly
My lower teeth are hurting, teeth,Clove oil; chew carefully and rinse with warm water
Sharp ache across my teeth, teeth,Benzocaine gel; relax jaw muscles and stay hydrated
Sensitivity in my teeth when drinking cold, teeth,Clove oil; avoid very cold drinks and rinse mouth
Pain in multiple teeth, teeth,Benzocaine gel; apply gently and rest in a dimly lit room
I feel dizzy and lightheaded, dizziness,Ginger tea slowly sipped; rest in a comfortable position
My head is spinning, dizziness,ORS or electrolyte solution; lie down and relax quietly
Feeling off balance, dizziness,Ginger tea; avoid sudden movements and breathe deeply
I am dizzy after standing up quickly, dizziness,ORS; sit down immediately and sip fluids
Lightheaded and woozy, dizziness,Ginger tea; keep head elevated and take deep breaths
Dizzy with nausea, dizziness,ORS; rest in a quiet and dimly lit room
My surroundings are spinning, dizziness,Ginger tea; sip water slowly and stay seated
I almost fainted after standing, faint,ORS; lie down and elevate legs slightly
Feeling faint and weak, faint,Ginger tea; rest quietly and sip warm water
I am going to pass out, faint,ORS; keep calm and breathe slowly
Sudden faintness, faint,Ginger tea; sit down and avoid sudden movements
Weak and about to faint, faint,ORS; elevate feet and rest
My head feels light and I might faint, faint,Ginger tea; take slow breaths and relax
Feeling close to passing out, faint,ORS; sip fluids slowly and lie down comfortably
I have a twisted ankle, sprain,Ice pack applied to the affected area; elevate leg and rest
My wrist is sprained, sprain,Pain relief gel applied gently; avoid movement and relax
Painful sprain in my knee, sprain,Ice pack; keep leg elevated and stay calm
I twisted my ankle badly, sprain,Pain relief gel; rest in a comfortable position
Swelling in my sprained wrist, sprain,Ice pack; gently massage around area and avoid strain
My knee sprain hurts a lot, sprain,Pain relief gel; elevate leg and sip warm water
Sharp pain from ankle sprain, sprain,Ice pack; rest quietly and avoid walking
My wrist is swollen after sprain, sprain,Pain relief gel; gently immobilize and stay relaxed
Sprained my ankle while running, sprain,Ice pack; elevate foot and breathe deeply
Knee feels weak and sprained, sprain,Pain relief gel; rest and avoid pressure
Twisted my wrist during activity, sprain,Ice pack; keep hand elevated and relaxed
Painful swelling from knee sprain, sprain,Pain relief gel; gentle compression and rest
My ankle hurts from a sprain, sprain,Ice pack; apply intermittently and relax
Sprained wrist causing discomfort, sprain,Pain relief gel; keep immobilized and calm
Knee sprain after exercise, sprain,Ice pack; elevate leg and sip fluids slowly
I have a dry cough, cough,Honey spooned slowly; drink warm water and rest
Persistent cough bothering me, cough,Dextromethorphan syrup as directed; stay hydrated and avoid cold drinks
My throat is itchy and I keep coughing, cough,Ambroxol syrup as directed; sip warm tea and relax
Coughing continuously at night, cough,Honey; rest in an upright position
I have a tickling cough, cough,Dextromethorphan syrup; avoid dusty areas and breathe deeply
Severe cough causing discomfort, cough,Ambroxol syrup; keep throat moist and stay calm
Dry cough making it hard to sleep, cough,Honey; sip warm water and rest quietly
Wet cough with phlegm, cough,Dextromethorphan syrup; stay hydrated and gently massage chest
My throat is sore from coughing, cough,Ambroxol syrup; avoid talking loudly and rest
Coughing after cold exposure, cough,Honey; sip warm fluids and relax
Tickling sensation in throat causing cough, cough,Dextromethorphan syrup; keep throat warm and breathe slowly
I have a persistent morning cough, cough,Ambroxol syrup; stay hydrated and rest in a quiet room
Cough with slight chest discomfort, cough,Honey; gently inhale steam and sip fluids
Coughing fits during the day, cough,Dextromethorphan syrup; avoid irritants and rest
Throat irritation causing frequent cough, cough,Ambroxol syrup; drink warm water and stay relaxed
I have a sore throat, throat,Strepsils lozenge; sip warm water and rest
My throat is hurting, throat,Benzydamine spray; stay hydrated and avoid cold drinks
Painful throat while swallowing, throat,Warm saltwater gargle; breathe deeply and relax
Throat irritation causing discomfort, throat,Strepsils lozenge; sip warm tea and stay calm
Scratchy throat all day, throat,Benzydamine spray; avoid talking loudly and rest quietly
Swollen throat making it painful to swallow, throat,Warm saltwater gargle; keep throat warm and hydrated
Throat pain worse at night, throat,Strepsils lozenge; sip fluids and lie comfortably
My throat feels raw, throat,Benzydamine spray; rest and avoid irritants
Painful swallowing and throat dryness, throat,Warm saltwater gargle; breathe slowly and stay relaxed
Sore throat after cold exposure, throat,Strepsils lozenge; sip warm water and rest
I feel irritation in my throat, throat,Benzydamine spray; stay calm and hydrated
Scratchiness causing coughing, throat,Warm saltwater gargle; relax in a quiet room
Pain in the back of my throat, throat,Strepsils lozenge; avoid cold drinks and sip warm fluids
Throat feels uncomfortable and dry, throat,Benzydamine spray; gentle gargle with warm water
Persistent throat soreness, throat,Warm saltwater gargle; rest and keep throat warm
I have pain all over my body, pain,Naproxen 250mg; rest and stay hydrated
Muscle pain after exercise, pain,Diclofenac gel applied gently; avoid strenuous activity
Back pain causing discomfort, pain,Naproxen 250mg; apply warm compress and relax
Pain in my joints, pain,Diclofenac gel; gently massage area and rest
Throbbing pain in my legs, pain,Naproxen 250mg; elevate legs and breathe slowly
Pain in my shoulders and neck, pain,Diclofenac gel; gentle stretching and relax quietly
